source_id,target_id,edge_type,data_source,confidence_score,evidence_count
GO:GO:0005168,GO:GO:0005167,go_term_is_a,GeneOntology,,0.0
GO:GO:0005179,GO:GO:0048018,go_term_is_a,GeneOntology,,0.0
GO:GO:0005198,GO:GO:0003674,go_term_is_a,GeneOntology,,0.0
GO:GO:0005215,GO:GO:0003674,go_term_is_a,GeneOntology,,0.0
GO:GO:0005216,GO:GO:0015075,go_term_is_a,GeneOntology,,0.0
GO:GO:0005216,GO:GO:0015267,go_term_is_a,GeneOntology,,0.0
GO:GO:0005242,GO:GO:0005249,go_term_is_a,GeneOntology,,0.0
GO:GO:0005242,GO:GO:0099094,go_term_is_a,GeneOntology,,0.0
GO:GO:0005244,GO:GO:0005216,go_term_is_a,GeneOntology,,0.0
GO:GO:0005244,GO:GO:0022832,go_term_is_a,GeneOntology,,0.0
GO:GO:0005249,GO:GO:0005267,go_term_is_a,GeneOntology,,0.0
GO:GO:0005249,GO:GO:0022843,go_term_is_a,GeneOntology,,0.0
GO:GO:0005261,GO:GO:0005216,go_term_is_a,GeneOntology,,0.0
GO:GO:0005261,GO:GO:0008324,go_term_is_a,GeneOntology,,0.0
GO:GO:0005267,GO:GO:0005261,go_term_is_a,GeneOntology,,0.0
GO:GO:0005267,GO:GO:0015079,go_term_is_a,GeneOntology,,0.0
GO:GO:0005353,GO:GO:0015149,go_term_is_a,GeneOntology,,0.0
GO:GO:0005354,GO:GO:0015149,go_term_is_a,GeneOntology,,0.0
GO:GO:0005488,GO:GO:0003674,go_term_is_a,GeneOntology,,0.0
GO:GO:0005504,GO:GO:0008289,go_term_is_a,GeneOntology,,0.0
GO:GO:0005504,GO:GO:0033293,go_term_is_a,GeneOntology,,0.0
GO:GO:0005515,GO:GO:0005488,go_term_is_a,GeneOntology,,0.0
GO:GO:0005520,GO:GO:0019838,go_term_is_a,GeneOntology,,0.0
GO:GO:0005524,GO:GO:0032559,go_term_is_a,GeneOntology,,0.0
GO:GO:0005524,GO:GO:0035639,go_term_is_a,GeneOntology,,0.0
GO:GO:0005525,GO:GO:0032561,go_term_is_a,GeneOntology,,0.0
GO:GO:0005525,GO:GO:0035639,go_term_is_a,GeneOntology,,0.0
GO:GO:0005536,GO:GO:0048029,go_term_is_a,GeneOntology,,0.0
GO:GO:0005576,GO:GO:0110165,go_term_is_a,GeneOntology,,0.0
GO:GO:0005622,GO:GO:0110165,go_term_is_a,GeneOntology,,0.0
